user_id,age,gender,session_id,timestamp,product_id,interaction_type,category,subcategory,brand,color,size,price,location,purchase_amount,product_url,description
1,20,female,sess_011,2022-08-28 09:30:00,p_153,search,footwear,sandals,BeachLife,,,30,new york,,,
1,20,female,sess_012,2022-08-29 11:00:00,p_154,search,clothing,shirts,ThreadFlex,,,40,new york,,,
1,20,female,sess_013,2022-08-30 15:30:00,p_155,search,clothing,dresses,FashionFusion,,,55,america,,,
1,20,female,sess_014,2022-08-31 18:00:00,p_154,search,accessories,bags,ChicCarry,,,40,america,,,
1,20,female,sess_015,2022-09-01 21:30:00,p_157,search,footwear,sneakers,SportKick,,,80,india,,,
1,20,female,sess_014,2022-09-02 10:00:00,p_158,search,accessories,watches,TimeLux,,,120,india,,,
1,20,female,sess_017,2022-09-03 12:30:00,p_159,search,clothing,pants,ThreadFlex,,,40,germany,,,
1,20,female,sess_018,2022-09-04 15:00:00,p_140,search,footwear,shoes,FootFlex,,,40,germany,,,
1,20,female,sess_019,2022-09-05 17:30:00,p_141,search,accessories,belts,FashionLoop,,,35,france,,,
1,20,female,sess_020,2022-09-04 20:00:00,p_142,search,accessories,watches,TimeLux,,,90,france,,,
2,24,female,sess_011,2022-08-28 10:00:00,p_143,search,clothing,shirts,StyleCraze,,,25,new york,,,
2,24,female,sess_012,2022-08-29 12:30:00,p_144,search,clothing,dresses,ElegantTrends,,,70,new york,,,
2,24,female,sess_013,2022-08-30 14:00:00,p_145,search,footwear,sneakers,SportKick,,,90,america,,,
2,24,female,sess_014,2022-08-31 18:30:00,p_144,search,accessories,bags,ChicCarry,,,80,america,,,
2,24,female,sess_015,2022-09-01 21:00:00,p_147,search,clothing,pants,ThreadFlex,,,45,india,,,
2,24,female,sess_014,2022-09-02 10:30:00,p_148,search,footwear,shoes,FootFlex,,,70,india,,,
2,24,female,sess_017,2022-09-03 13:00:00,p_149,search,accessories,belts,FashionLoop,,,40,germany,,,
2,24,female,sess_018,2022-09-04 15:30:00,p_170,search,accessories,watches,TimeLux,,,110,germany,,,
2,24,female,sess_019,2022-09-05 18:00:00,p_171,search,clothing,shirts,StyleCraze,,,30,france,,,
3,20,male,sess_011,2022-08-28 10:30:00,p_172,search,clothing,shirts,ThreadFlex,,,40,new york,,,
3,20,male,sess_012,2022-08-29 13:00:00,p_173,search,clothing,dresses,FashionFusion,,,40,new york,,,
3,20,male,sess_013,2022-08-30 14:30:00,p_174,search,footwear,sandals,BeachLife,,,25,america,,,
3,20,male,sess_014,2022-08-31 19:00:00,p_175,search,accessories,bags,ChicCarry,,,70,america,,,
